tourney_date,tourney_name,tourney_level,winner_name,loser_name,score,gender
20240101,Shanghai Masters,Masters 1000,Belinda Bencic,Diana Shnaider,7 6 3 12,W
20240103,Monte Carlo Masters,Masters 1000,Jasmine Paolini,Belinda Bencic,7 6 5 11,W
20240105,Wimbledon,Grand Slam,Alexander Zverev,Tommy Paul,6 6,M
20240107,Rome Masters,Masters 1000,Iga Swiatek,Beatriz Haddad Maia,6 6 4 12,W
20240109,Miami Masters,Masters 1000,Andriy Rublev,Casper Ruud,6 6,M
20240111,Paris Masters,Masters 1000,Belinda Bencic,Amanda Anisimova,6 6,W
20240113,Miami Masters,Masters 1000,Elena Rybakina,Coco Gauff,6 7 4 13,W
20240115,Monte Carlo Masters,Masters 1000,Carlos Alcaraz,Arthur Fils,6 7,M
20240117,Canada Masters,Masters 1000,Carlos Alcaraz,Ben Shelton,6 6,M
20240119,Shanghai Masters,Masters 1000,Diana Shnaider,Anna Karolina Schmiedlova,6 7,W
20240121,Shanghai Masters,Masters 1000,Daniil Medvedev,Andriy Rublev,7 6,M
20240123,Monte Carlo Masters,Masters 1000,Karolina Muchova,Liudmila Samsonova,7 7,W
20240125,Australian Open,Grand Slam,Elena Rybakina,Jasmine Paolini,6 7 4 13,W
20240127,Wimbledon,Grand Slam,Marketa Vondrousova,Jeļena Ostapenko,6 6,W
20240129,Australian Open,Grand Slam,Taylor Fritz,Andriy Rublev,6 7 5 10,M
20240131,Wimbledon,Grand Slam,Diana Shnaider,Coco Gauff,6 7,W
20240202,US Open,Grand Slam,Carlos Alcaraz,Hubert Hurkacz,7 6 3 12,M
20240204,Shanghai Masters,Masters 1000,Arthur Fils,Grigor Dimitrov,7 7,M
20240206,Australian Open,Grand Slam,Elina Svitolina,Jeļena Ostapenko,6 7,W
20240208,Miami Masters,Masters 1000,Belinda Bencic,Jeļena Ostapenko,7 7,W
20240210,Monte Carlo Masters,Masters 1000,Casper Ruud,Felix Auger-Aliassime,7 7 4 11,M
20240212,Monte Carlo Masters,Masters 1000,Aryna Sabalenka,Magdalena Fręch,6 7,W
20240214,Monte Carlo Masters,Masters 1000,Coco Gauff,Mirra Andreeva,6 6 5 10,W
20240216,Australian Open,Grand Slam,Mirra Andreeva,Marketa Vondrousova,6 7 3 10,W
20240218,Shanghai Masters,Masters 1000,Lorenzo Musetti,Arthur Fils,7 7,M
20240220,Shanghai Masters,Masters 1000,Daniil Medvedev,Andriy Rublev,6 6,M
20240222,Canada Masters,Masters 1000,Coco Gauff,Marketa Vondrousova,7 6 3 13,W
20240224,Wimbledon,Grand Slam,Coco Gauff,Diana Shnaider,7 7,W
20240226,Australian Open,Grand Slam,Novak Djokovic,Hubert Hurkacz,6 7 4 13,M
20240228,Australian Open,Grand Slam,Jannik Sinner,Taylor Fritz,6 7 5 11,M
20240301,Rome Masters,Masters 1000,Jasmine Paolini,Marketa Vondrousova,7 6,W
20240303,Paris Masters,Masters 1000,Taylor Fritz,Andriy Rublev,6 7,M
20240305,US Open,Grand Slam,Jessica Pegula,Madison Keys,6 7 3 11,W
20240307,Madrid Masters,Masters 1000,Jannik Sinner,Felix Auger-Aliassime,7 7 3 13,M
20240309,US Open,Grand Slam,Daniil Medvedev,Grigor Dimitrov,6 6 3 12,M
20240311,US Open,Grand Slam,Grigor Dimitrov,Stefanos Tsitsipas,6 7 4 10,M
20240313,Wimbledon,Grand Slam,Jessica Pegula,Marketa Vondrousova,7 6,W
20240315,Australian Open,Grand Slam,Ben Shelton,Sebastian Korda,7 6,M
20240317,French Open,Grand Slam,Hubert Hurkacz,Ben Shelton,7 6 5 12,M
20240319,Australian Open,Grand Slam,Novak Djokovic,Carlos Alcaraz,6 6,M
20240321,Cincinnati Masters,Masters 1000,Jasmine Paolini,Coco Gauff,7 7 5 11,W
20240323,Monte Carlo Masters,Masters 1000,Hubert Hurkacz,Lorenzo Musetti,7 6,M
20240325,US Open,Grand Slam,Alexander Zverev,Casper Ruud,7 7 4 13,M
20240327,Monte Carlo Masters,Masters 1000,Coco Gauff,Jessica Pegula,7 7,W
20240329,Monte Carlo Masters,Masters 1000,Elena Rybakina,Liudmila Samsonova,7 7 5 11,W
20240331,Australian Open,Grand Slam,Anna Karolina Schmiedlova,Diana Shnaider,7 7,W
20240402,Paris Masters,Masters 1000,Ben Shelton,Daniil Medvedev,6 6,M
20240404,Canada Masters,Masters 1000,Carlos Alcaraz,Lorenzo Musetti,7 7 5 10,M
20240406,Paris Masters,Masters 1000,Alex de Minaur,Lorenzo Musetti,7 7 5 11,M
20240408,Monte Carlo Masters,Masters 1000,Felix Auger-Aliassime,Daniil Medvedev,7 7,M
20240410,Madrid Masters,Masters 1000,Alexander Zverev,Daniil Medvedev,6 6,M
20240412,Rome Masters,Masters 1000,Jannik Sinner,Jakub Mensik,6 6,M
20240414,Rome Masters,Masters 1000,Hubert Hurkacz,Felix Auger-Aliassime,7 7 4 13,M
